distance_cm,distance_int,sent_message,received_message,timestamp
10.12,1011,CanalystMessage ID=0x1 TS=0x0 Data=000003f300000000,[CanalystMessage ID=0x1 TS=0x435374c Data=000003f300000000],2024-07-04 16:08:38
10.03,1002,CanalystMessage ID=0x1 TS=0x0 Data=000003ea00000000,[CanalystMessage ID=0x1 TS=0x4355e71 Data=000003ea00000000],2024-07-04 16:08:39
10.01,1001,CanalystMessage ID=0x1 TS=0x0 Data=000003e900000000,[CanalystMessage ID=0x1 TS=0x4358595 Data=000003e900000000],2024-07-04 16:08:40
10.12,1011,CanalystMessage ID=0x1 TS=0x0 Data=000003f300000000,[CanalystMessage ID=0x1 TS=0x435acba Data=000003f300000000],2024-07-04 16:08:41
10.13,1013,CanalystMessage ID=0x1 TS=0x0 Data=000003f500000000,[CanalystMessage ID=0x1 TS=0x435d3e1 Data=000003f500000000],2024-07-04 16:08:42
10.03,1002,CanalystMessage ID=0x1 TS=0x0 Data=000003ea00000000,[CanalystMessage ID=0x1 TS=0x435fb08 Data=000003ea00000000],2024-07-04 16:08:43
9.25,925,CanalystMessage ID=0x1 TS=0x0 Data=0000039d00000000,[CanalystMessage ID=0x1 TS=0x4362225 Data=0000039d00000000],2024-07-04 16:08:44
4.9,490,CanalystMessage ID=0x1 TS=0x0 Data=000001ea00000000,[CanalystMessage ID=0x1 TS=0x4364948 Data=000001ea00000000],2024-07-04 16:08:45
69.41,6941,CanalystMessage ID=0x1 TS=0x0 Data=00001b1d00000000,[CanalystMessage ID=0x1 TS=0x436709c Data=00001b1d00000000],2024-07-04 16:08:46
66.38,6638,CanalystMessage ID=0x1 TS=0x0 Data=000019ee00000000,[CanalystMessage ID=0x1 TS=0x43697e3 Data=000019ee00000000],2024-07-04 16:08:47
62.93,6293,CanalystMessage ID=0x1 TS=0x0 Data=0000189500000000,[CanalystMessage ID=0x1 TS=0x436bf27 Data=0000189500000000],2024-07-04 16:08:48
10.08,1008,CanalystMessage ID=0x1 TS=0x0 Data=000003f000000000,[CanalystMessage ID=0x1 TS=0x436e64f Data=000003f000000000],2024-07-04 16:08:49
10.18,1018,CanalystMessage ID=0x1 TS=0x0 Data=000003fa00000000,[CanalystMessage ID=0x1 TS=0x4370d77 Data=000003fa00000000],2024-07-04 16:08:50
19.84,1984,CanalystMessage ID=0x1 TS=0x0 Data=000007c000000000,[CanalystMessage ID=0x1 TS=0x43734a1 Data=000007c000000000],2024-07-04 16:08:51
1189.54,118954,CanalystMessage ID=0x1 TS=0x0 Data=0001d0aa00000000,[CanalystMessage ID=0x1 TS=0x4375e97 Data=0001d0aa00000000],2024-07-04 16:08:52
64.7,6470,CanalystMessage ID=0x1 TS=0x0 Data=0000194600000000,[CanalystMessage ID=0x1 TS=0x43785c9 Data=0000194600000000],2024-07-04 16:08:53
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x437acf2 Data=0000044200000000],2024-07-04 16:08:54
