distance_cm,timestamp
10.49,2024-07-04 16:13:57
10.37,2024-07-04 16:13:58
10.39,2024-07-04 16:13:59
10.8,2024-07-04 16:14:00
10.9,2024-07-04 16:14:01
10.8,2024-07-04 16:14:02
9.96,2024-07-04 16:14:03
10.06,2024-07-04 16:14:04
10.49,2024-07-04 16:14:05
10.39,2024-07-04 16:14:06
10.8,2024-07-04 16:14:07
11.2,2024-07-04 16:14:08
10.9,2024-07-04 16:14:09
10.8,2024-07-04 16:14:10
10.37,2024-07-04 16:14:11
10.39,2024-07-04 16:14:12
10.49,2024-07-04 16:14:13
10.37,2024-07-04 16:14:14
10.8,2024-07-04 16:14:15
10.8,2024-07-04 16:14:16
10.9,2024-07-04 16:14:17
10.8,2024-07-04 16:14:18
10.39,2024-07-04 16:14:19
10.39,2024-07-04 16:14:20
10.47,2024-07-04 16:14:21
10.8,2024-07-04 16:14:22
10.8,2024-07-04 16:14:23
10.8,2024-07-04 16:14:24
10.49,2024-07-04 16:14:25
10.49,2024-07-04 16:14:26
10.39,2024-07-04 16:14:27
10.39,2024-07-04 16:14:28
10.9,2024-07-04 16:14:29
10.91,2024-07-04 16:14:30
10.39,2024-07-04 16:14:31
10.39,2024-07-04 16:14:32
10.9,2024-07-04 16:14:33
10.9,2024-07-04 16:14:34
10.8,2024-07-04 16:14:35
10.8,2024-07-04 16:14:36
10.06,2024-07-04 16:14:37
10.06,2024-07-04 16:14:38
10.39,2024-07-04 16:14:39
10.37,2024-07-04 16:14:40
10.49,2024-07-04 16:14:41
10.81,2024-07-04 16:14:42
10.8,2024-07-04 16:14:43
10.39,2024-07-04 16:14:44
10.47,2024-07-04 16:14:45
10.49,2024-07-04 16:14:46
10.39,2024-07-04 16:14:47
9.96,2024-07-04 16:14:48
10.47,2024-07-04 16:14:49
6.1,2024-07-04 16:14:50
20.59,2024-07-04 16:14:51
1189.42,2024-07-04 16:14:52
65.08,2024-07-04 16:14:53
1189.56,2024-07-04 16:14:54
10.8,2024-07-04 16:14:55
10.9,2024-07-04 16:14:56
10.9,2024-07-04 16:14:57
10.8,2024-07-04 16:14:58
10.8,2024-07-04 16:14:59
11.63,2024-07-04 16:15:00
11.73,2024-07-04 16:15:01
9.93,2024-07-04 16:15:02
9.89,2024-07-04 16:15:03
10.42,2024-07-04 16:15:04
10.42,2024-07-04 16:15:05
10.32,2024-07-04 16:15:06
10.32,2024-07-04 16:15:07
10.01,2024-07-04 16:15:08
10.42,2024-07-04 16:15:09
10.32,2024-07-04 16:15:10
9.91,2024-07-04 16:15:11
10.42,2024-07-04 16:15:12
10.32,2024-07-04 16:15:13
